"","State","District","Persons","Males","Females","Growth..1991...2001.","Rural","Urban","Scheduled.Caste.population","Percentage...SC.to.total","Number.of.households","Household.size..per.household.","Sex.ratio..females.per.1000.males.","Sex.ratio..0.6.years.","Scheduled.Tribe.population","Percentage.to.total.population..ST.","Persons..literate","Males..Literate","Females..Literate","Persons..literacy.rate","Males..Literatacy.Rate","Females..Literacy.Rate","Total.Educated","Data.without.level","Below.Primary","Primary","Middle","Matric.Higher.Secondary.Diploma","Graduate.and.Above","X0...4.years","X5...14.years","X15...59.years","X60.years.and.above..Incl..A.N.S..","Total.workers","Main.workers","Marginal.workers","Non.workers","SC.1.Name","SC.1.Population","SC.2.Name","SC.2.Population","SC.3.Name","SC.3.Population","Religeon.1.Name","Religeon.1.Population","Religeon.2.Name","Religeon.2.Population","Religeon.3.Name","Religeon.3.Population","ST.1.Name","ST.1.Population","ST.2.Name","ST.2.Population","ST.3.Name","ST.3.Population","Imp.Town.1.Name","Imp.Town.1.Population","Imp.Town.2.Name","Imp.Town.2.Population","Imp.Town.3.Name","Imp.Town.3.Population","Total.Inhabited.Villages","Drinking.water.facilities","Safe.Drinking.water","Electricity..Power.Supply.","Electricity..domestic.","Electricity..Agriculture.","Primary.school","Middle.schools","Secondary.Sr.Secondary.schools","College","Medical.facility","Primary.Health.Centre","Primary.Health.Sub.Centre","Post..telegraph.and.telephone.facility","Bus.services","Paved.approach.road","Mud.approach.road","Permanent.House","Semi.permanent.House","Temporary.House"
"250","Kerala","District Thrissur (07), Kerala (32)",2974232,1422052,1552180,"8.7","2134799",NA,NA,NA,639871,5,1092,958,"4826","0.16",2437592,1191026,1246566,92.27,95.11,89.71,2437592,19327,497934,546008,503278,719444,151519,240565,489240,1894992,349435,955300,808965,146335,2018932,NA,141189,NA,103640,NA,34039,NA,1761842,NA,720152,NA,488697,"1.Malayan","2415","2.Kadar","846","3.Ulladan","845",NA,317526,"(M)",51592,NA,48380,204,204,204,204,"1","1",196,"162","156","12","194","76","49",204,"204","204","204",68.1,23.4,8.5
"251","Kerala","District Ernakulam (08), Kerala (32)",3105798,1538397,1567401,"9.09","1628713",NA,NA,NA,693161,4,1019,954,"10046","0.32",2578813,1307846,1270967,93.2,95.81,90.66,2578813,24520,476336,528694,503631,820372,225105,247137,470604,2033169,354888,1117091,915756,201335,1988707,"1.Pulayan etc.",199732,"2.Paraiyan etc.",19233,"3.Velan",14545,"1.Hindus",1444994,"2.Christians",1204471,"3.Muslims",451764,"1.Ulladan","4006","2.Muthuvan etc.","2340","3.Malai Arayan","1472","1.Kochi (M Corp.) (Part)",328677,"2.Kochi (M Corp.) (Part)",266898,"3.Edathala (CT)",67754,90,90,90,90,"-","-",89,"85","114",NA,"89","67","36",90,"90","90","87",92.3,4.9,2.8
"252","Kerala","District Idukki (09), Kerala (32)",1129221,566682,562539,"6.96","1071628",NA,NA,NA,265344,4,993,968,"50973","4.51",882458,460310,422148,88.69,92.33,85.02,882458,10231,176890,217996,203095,234505,39708,98199,182284,745214,103524,487352,400699,86653,641869,NA,53094,NA,43566,NA,32278,NA,566744,NA,480108,NA,81222,"1.Malai Arayan","16764","2.Muthuvan etc.","11026","3.Mannan","6859","(M)",46246,NA,9036,NA,2311,64,64,64,64,"4","1",60,"59","74","9","62","46","38",64,"64","64","61",60,27,12.9
"253","Kerala","District Kottayam (10), Kerala (32)",1953646,964926,988720,"6.76","1653838",NA,NA,NA,434520,4,1025,962,"18340","0.94",1668266,833748,834518,95.82,97.34,94.35,1668266,10972,287281,345448,355148,540662,128708,154992,299291,1246424,252939,642157,539609,102548,1311489,NA,84620,NA,22391,NA,12835,NA,963497,NA,871371,NA,116686,"1.Malai Arayan","11346","2.Ulladan","3382","3.Malai Vedan","1966","(M)",60728,NA,51967,NA,42984,89,89,89,89,"-","-",89,"87","123","13","88","65","30",89,"89","89","88",78.2,15.9,5.7
"254","Kerala","District Alappuzha (11), Kerala (32)",2109160,1014529,1094631,"5.21","1487703",NA,NA,NA,483960,4,1079,955,"3131","0.15",1758978,865286,893692,93.43,96.27,90.82,1758978,19544,321620,378825,425623,513397,99917,165994,319849,1349673,273644,723354,547049,176305,1385806,NA,116342,NA,33727,NA,15416,NA,1457188,NA,441643,NA,208042,"1.Ulladan","2656","2.Malai Arayan","124","3.Malai Pandaram","66","(M)",177029,NA,68585,"(M)",45105,77,77,77,77,"1","-",75,"73","99","10","74","58","34",77,"77","77","76",78.6,8.9,12.3
"255","Kerala","District Pathanamthitta (12), Kerala (32)",1234016,589398,644618,"3.72","1110218",NA,NA,NA,297134,4,1094,967,"6549","0.53",1049876,505976,543900,94.84,96.41,93.43,1049876,10519,176696,209013,251917,336720,64974,91643,193174,768124,181075,366049,285844,80205,867967,NA,63457,NA,57431,NA,18644,NA,694560,NA,481602,NA,56457,"1.Ulladan","2246","2.Malai Vedan","2061","3.Malai Arayan","1070",NA,56837,"(M)",38009,NA,28952,65,65,65,65,"3","2",64,"61","91","9","63","50","32",65,"65","65","65",75,18.7,6.1
"256","Kerala","District Kollam (13), Kerala (32)",2585208,1249621,1335587,"7.33","2119230",NA,NA,NA,593314,4,1069,960,"5190","0.2",2090444,1039111,1051333,91.18,94.43,88.18,2090444,19622,365157,449780,539180,593072,123596,214106,413756,1673910,283436,828566,654823,173743,1756642,NA,111095,NA,95480,NA,54847,NA,1685044,NA,474071,NA,423745,"1.Kanikaran etc.","2297","2.Malai Vedan","1103","3.Malai Pandaram","923",NA,361560,NA,47235,"(M)",38652,93,93,93,93,"1","-",93,"90","128","11","92","58","43",93,"93","93","93",68.9,16.4,14.7
"257","Kerala","District Thiruvananthapuram (14), Kerala (32)",3234356,1569917,1664439,"9.78","2142695",NA,NA,NA,759382,4,1060,962,"20893","0.65",2558494,1280412,1278082,89.28,92.64,86.14,2558494,32359,409276,527786,634060,732255,222693,266099,533739,2093603,340915,1047935,818497,229438,2186421,NA,160765,NA,80291,NA,40958,NA,2202112,NA,595563,NA,431512,"1.Kanikaran etc.","18872","2.Malai Arayan","579","3.Malai Pandaram","327",NA,744983,"(M)",69467,"(M)",56138,91,91,91,91,"-","-",91,"87","114",NA,"90","65","41",91,"91","90","88",47.6,28.4,24
"258","Lakshdweep","District Lakshadweep (01), Lakshadweep (31)",60650,31131,29519,"17.19","33683",NA,"-","-",9993,6,948,958,"57321","94.51",44683,24511,20172,86.66,92.53,80.47,44683,2488,12358,12994,9162,6718,959,6468,14266,36134,3782,15354,11710,3644,45296,"No Scheduled Castes in this area",NA,NA,NA,NA,NA,"1.Muslims",57903,"2.Hindus",2221,"3.Christians",509,"1.Inhabitants of the Lakshadweep","57321","2.All Scheduled Tribes","32209","3.Inhabitants of the Lakshadweep","32209","1.Kavaratti (CT)",10119,"2.Minicoy (CT)",9495,"3.Amini (CT)",7353,8,8,8,8,"-","-",7,"6","8","-","7","4","7",8,"-","-","-",95.3,2.9,1.8
"259","Maharashtra","District Nandurbar * (01), Maharashtra (27)",1311709,663511,648198,"23.21","1109036",NA,NA,NA,245421,5,977,961,"859574","65.53",603221,361333,241888,55.78,66.16,45.18,603221,27965,198188,147995,68675,131899,28499,160258,344858,710346,96247,610033,458321,151712,701676,"1.Mahar etc.",31198,"2.Bhambi etc.",5389,"3.Mang etc.",1778,"1.Hindus",1198481,"2.Muslims",71215,"3.Christians",17953,"1.Bhil etc.","714127","2.Gamit etc.","61754","3.Kokna etc.","40848","1.Nandurbar (M Cl)",94368,"2.Shahade (M Cl)",49696,"3.Nawapur (M Cl)",29979,935,932,895,778,"295","198",920,"217","160","4","259","47","128",299,"679","614","261",18,64.4,17.6
"260","Maharashtra","District Dhule (02), Maharashtra (27)",1707947,878372,829575,"16.01","1262062",NA,NA,NA,324557,5,944,906,"443564","25.97",1040837,606036,434801,71.65,81.4,61.39,1040837,33191,287710,272659,130236,256675,60362,178467,408578,960357,160545,737941,573496,164445,970006,"1.Mahar etc.",77811,"2.Bhambi etc.",18608,"3.Mang etc.",7266,"1.Hindus",1522895,"2.Muslims",149466,"3.Buddhists",14613,"1.Bhil etc.","295266","2.Kokna etc.","89753","3.Koli Dhor etc.","21723","1.Dhule (M Cl)",341755,"2.Shirpur-Warwade (M Cl)",61694,"3.Dondaicha-Warwade(M Cl)",42436,678,675,675,673,"365","356",669,"328","289","10","276","40","120",384,"596","539","138",25,31.4,43.5
"261","Maharashtra","District Jalgaon (03), Maharashtra (27)",3682690,1905493,1777197,"15.44","2629896",NA,NA,NA,732767,5,933,880,"435951","11.84",2381376,1396860,984516,75.43,85.91,64.3,2381376,45138,672889,650949,329660,563675,119062,362067,855524,2103419,361680,1563983,1300086,263897,2118707,"1.Mahar etc.",186159,"2.Bhambi etc.",50837,"3.Mang etc.",26377,"1.Hindus",3049368,"2.Muslims",455288,"3.Buddhists",126136,"1.Bhil etc.","251643","2.Koli Dhor etc.","126911","3.Pardhi etc.","16849","1.Jalgaon (M Cl)",368618,"2.Bhusawal (M Cl)",172372,"3.Amalner (M Cl)",91490,1491,1491,1491,1486,"-","-",1470,"663","442","11","934","74","380",1425,"1428","1376","115",34.8,34.2,30.9
"262","Maharashtra","District Buldana (04), Maharashtra (27)",2232480,1147403,1085077,"18.03","1759097",NA,NA,NA,445634,5,946,908,"115156","5.16",1433889,842410,591479,75.78,86.93,64.07,1433889,26020,490339,381863,203864,275600,56203,235068,541154,1233279,222979,1016015,908797,107218,1216465,"1.Mahar etc.",125443,"2.Mang etc.",61780,"3.Bhambi etc.",41024,"1.Hindus",1622192,"2.Buddhists",306503,"3.Muslims",285387,"1.Koli Mahadev etc.","33067","2.Bhil etc.","24605","3.Pardhi etc.","16428","1.Khamgaon (M Cl)",88687,"2.Buldana (M Cl)",62972,"3.Malkapur (M Cl)",61012,1297,1289,1286,1263,"15","30",1194,"618","230","4","379","19","30",677,"846","1012","273",36.2,57.5,6.3
"263","Maharashtra","District Akola (05), Maharashtra (27)",1630239,841253,788986,"20.51","1002742",NA,NA,NA,319947,5,938,933,"100088","6.14",1135245,639483,495762,81.41,88.91,73.43,1135245,18448,326724,280039,177990,268309,63735,165797,374393,935557,154492,648243,582264,65979,981996,"1.Mahar etc.",94586,"2.Mang etc.",38133,"3.Bhambi etc.",20347,"1.Hindus",1024080,"2.Muslims",296272,"3.Buddhists",293184,"1.Koli Mahadev etc.","22656","2.Andh","19085","3.Pardhi etc.","17578","1.Akola (M Cl)",400520,"2.Akot (M Cl)",80726,"3.Balapur (M Cl)",39502,862,851,850,840,"179","123",786,"374","242",NA,"212","7","30",277,"530","736","126",41.8,55.2,2.9
"264","Maharashtra","District Washim * (06), Maharashtra (27)",1020216,526094,494122,"18.25","841771",NA,NA,NA,200958,5,939,917,"70987","6.96",630763,377978,252785,73.37,85.44,60.57,630763,10253,214413,169377,82710,129753,24256,111972,249919,556640,101685,455332,395651,59681,564884,"1.Mahar etc.",105956,"2.Mang etc.",37398,"3.Bhambi etc.",8603,"1.Hindus",746841,"2.Buddhists",150580,"3.Muslims",111863,"1.Andh","51785","2.Koli Mahadev etc.","5019","3.Gond Rajgond etc.","3851","1.Washim (M Cl)",62956,"2.Karanja (M Cl)",60158,"3.Mangrulpir (M Cl)",27815,702,697,695,687,"380","371",666,"304","183","7","292","9","52",294,"507","593","102",33.8,63,3.1
"265","Maharashtra","District Amravati (07), Maharashtra (27)",2607160,1345614,1261546,"18.45","1707581",NA,NA,NA,526230,5,938,941,"356533","13.68",1856549,1032546,824003,82.54,88.91,75.73,1856549,34341,537635,433284,305648,431104,114536,252428,575750,1513117,265865,1095622,908363,187259,1511538,"1.Mahar etc.",337659,"2.Mang etc.",44841,"3.Bhambi etc.",21068,"1.Hindus",1883148,"2.Buddhists",350403,"3.Muslims",347250,"1.Korku etc.","193199","2.Gond Rajgond etc.","95363","3.Pardhi etc.","20568","1.Amravati (M Corp.)",549510,"2.Achalpur (M Cl)",107316,"3.Anjangaon (M Cl)",51170,1679,1646,1646,1629,"302","273",1444,"675","379","13","705","61","180",888,"981","1475","200",32.2,65.2,2.6
"266","Maharashtra","District Wardha (08), Maharashtra (27)",1236736,638990,597746,"15.3","911695",NA,NA,NA,270502,5,935,928,"154415","12.49",865556,486736,378820,80.06,87.18,72.45,865556,13691,235556,184139,152341,227660,52169,109409,249944,740886,136497,550351,431330,119021,686385,"1.Mahar etc.",119988,"2.Mang etc.",18731,"3.Bhambi etc.",9823,"1.Hindus",1006235,"2.Buddhists",169579,"3.Muslims",47605,"1.Gond Rajgond etc.","115448","2.Halba etc.","12366","3.Pardhan etc.","8307","1.Wardha (M Cl)",111118,"2.Hinganghat (M Cl)",92342,"3.Arvi (M Cl)",40575,1004,998,998,998,"248","334",842,"362","201","19","392","26","149",735,"697","768","235",38.1,59.3,2.6
"267","Maharashtra","District Nagpur (09), Maharashtra (27)",4067637,2105314,1962323,"23.25","1453886",NA,NA,NA,838599,5,932,941,"444441","10.93",2976205,1654342,1321863,84.03,90.18,77.42,2976205,40132,714181,593659,555120,780536,292546,370859,849592,2504671,342515,1538349,1283079,255270,2529288,"1.Mahar etc.",547077,"2.Bhambi etc.",67106,"3.Mang etc.",32129,"1.Hindus",3090588,"2.Buddhists",589218,"3.Muslims",296709,"1.Gond Rajgond etc.","257119","2.Halba etc.","147530","3.Thakur etc.","18537","1.Nagpur (M Corp.)",2052066,"2.Kamptee (M Cl)",84344,"3.Umred (M Cl)",49577,1628,1621,1621,1616,"598","649",1419,"594","273","14","161","27","20",726,"869","1443","185",53.7,42.9,3.4
"268","Maharashtra","District Bhandara (10), Maharashtra (27)",1136146,573445,562701,"11.2","960418",NA,NA,NA,244531,5,981,956,"97718","8.6",770662,440122,330540,78.47,88.97,67.82,770662,7957,236573,158182,156083,172183,39684,108444,239337,688186,100179,536885,365464,171421,599261,"1.Mahar etc.",180113,"2.Bhambi etc.",12473,"3.Mang etc.",2668,"1.Hindus",953507,"2.Buddhists",144541,"3.Muslims",23324,"1.Gond Rajgond etc.","69986","2.Halba etc.","22994","3.Binjhwar","1964","1.Bhandara (M Cl)",85213,"2.Tumsar (M Cl)",42021,"3.Pauni (M Cl)",22587,778,772,772,774,"191","41",716,"313","219","9","442","32","188",503,"453","415","361",34,63.9,2.1
"269","Maharashtra","District Gondiya * (11), Maharashtra (27)",1200707,598834,601873,"10.49","1057276",NA,NA,NA,249720,5,1005,958,"196455","16.36",808414,458266,350148,78.52,89.61,67.58,808414,11074,275016,185713,143438,162514,30658,119040,264544,718483,98640,579596,391890,187706,621111,"1.Mahar etc.",144538,"2.Bhambi etc.",13369,"3.Holaya etc.",2969,"1.Hindus",1041802,"2.Buddhists",119618,"3.Muslims",21980,"1.Gond Rajgond etc.","127719","2.Halba etc.","52403","3.Kawar etc.","7766","1.Gondiya (M Cl)",120902,"2.Tirora (M Cl)",22529,NA,NA,893,891,891,884,"214","53",832,"418","213","6","527","39","231",560,"486","443","448",16.8,81.1,2
"270","Maharashtra","District Gadchiroli (12), Maharashtra (27)",970294,491101,479193,"23.25","903033",NA,NA,NA,210362,5,976,965,"371696","38.31",490121,296314,193807,60.1,71.86,48.07,490121,9945,172054,120709,80995,89838,16579,106047,231794,558297,74156,497104,336959,160145,473190,"1.Mahar etc.",91509,"2.Madgi",11519,"3.Bhambi etc.",2516,"1.Hindus",818640,"2.Buddhists",78058,"3.Others",44825,"1.Gond Rajgond etc.","328502","2.Pardhan etc.","16678","3.Halba etc.","12435","1.Gadchiroli (M Cl)",42468,"2.Desaiganj (M Cl)",24793,NA,NA,1521,1509,1503,1320,"544","185",1279,"392","175","11","369","37","79",199,"505","1110","357",28.5,66.3,5.1
"271","Maharashtra","District Chandrapur (13), Maharashtra (27)",2071101,1062993,1008108,"17.26","1406034",NA,NA,NA,462632,4,948,939,"375256","18.12",1311008,762137,548871,73.17,82.94,62.89,1311008,16585,374883,306002,241905,301614,70018,193930,452311,1249673,175187,930791,683029,247762,1140310,"1.Mahar etc.",223873,"2.Madgi",24804,"3.Bhambi etc.",19702,"1.Hindus",1680113,"2.Buddhists",274067,"3.Muslims",76050,"1.Gond Rajgond etc.","295804","2.Pardhan etc.","43302","3.Halba etc.","18826","1.Chandrapur (M Cl)",289450,"2.Ballarpur (M Cl)",89995,"3.Bhadravati (M Cl)",56903,1472,1462,1460,1444,"807","632",1359,"608","260","12","318","54","92",370,"736","1349","117",43.6,52.5,3.9
"272","Maharashtra","District Yavatmal (14), Maharashtra (27)",2458271,1265681,1192590,"18.46","2001060",NA,NA,NA,518214,5,942,932,"473370","19.26",1537777,903639,634138,73.62,84.09,62.52,1537777,32617,516171,383231,232990,303089,69675,256042,576557,1397113,228559,1118937,949453,169484,1339334,"1.Mahar etc.",166745,"2.Mang etc.",40074,"3.Bhambi etc.",15991,"1.Hindus",1999368,"2.Buddhists",221793,"3.Muslims",196909,"1.Gond Rajgond etc.","172458","2.Andh","121138","3.Kolam etc.","93929","1.Yavatmal (M Cl)",120676,"2.Pusad (M Cl)",67166,"3.Wani (M Cl)",52834,1856,1820,1818,1795,"253","169",1729,"783","319","14","723","59","364",513,"1184","1455","363",32.4,64.5,3.1
"273","Maharashtra","District Nanded (15), Maharashtra (27)",2876259,1481358,1394901,"23.08","2187195",NA,NA,NA,527875,5,942,928,"253596","8.82",1625685,992485,633200,67.77,80.44,54.35,1625685,71612,524856,416146,191069,330094,91908,322834,775152,1503051,275222,1202037,965087,236950,1674222,"1.Mahar etc.",223209,"2.Mang etc.",193571,"3.Lingader",45985,"1.Hindus",2162185,"2.Muslims",385081,"3.Buddhists",302161,"1.Andh","67744","2.Koli Mahadev etc.","63771","3.Kolam etc.","51653","1.Nanded-Waghala (M Corp.)",430733,"2.Deglur (M Cl)",48028,"3.Dharmabad (M Cl)",29951,1546,1538,1537,1531,"2","1",1536,"768","504","26","209","71","111",458,"1141","1049","470",49.4,44,6.5
"274","Maharashtra","District Hingoli * (16), Maharashtra (27)",987160,505373,481787,"19.76","833130",NA,NA,NA,180695,5,953,926,"86898","8.8",543309,337912,205397,66.25,80.71,51.17,543309,16402,205778,154660,67561,79787,19120,114337,260863,507637,104323,459978,412838,47140,527182,"1.Mahar etc.",50770,"2.Mang etc.",30199,"3.Bhambi etc.",8452,"1.Hindus",728893,"2.Buddhists",147927,"3.Muslims",103199,"1.Andh","77486","2.Koli Mahadev etc.","3875","3.Pardhi etc.","1405","1.Hingoli (M Cl)",69432,"2.Basmath (M Cl)",57365,"3.Kalamnuri (M Cl)",20632,672,659,658,657,"12","14",650,"301","103","6","171","37","55",187,"426","545","127",39.5,54.9,5.6
"275","Maharashtra","District Parbhani (17), Maharashtra (27)",1527715,780191,747524,"15.31","1042529",NA,NA,NA,278702,5,958,922,"35210","2.3",842536,516714,325822,66.07,79.63,52.02,842536,24517,294176,230416,107401,145218,40808,171802,408566,786399,160948,644752,559917,84835,882963,"1.Mahar etc.",80539,"2.Mang etc.",47865,"3.Bhambi etc.",10510,"1.Hindus",1121246,"2.Muslims",243935,"3.Buddhists",153231,"1.Andh","12711","2.Koli Mahadev etc.","10279","3.Pardhi etc.","2241","1.Parbhani (M Cl)",259329,"2.Gangakhed (M Cl)",40428,"3.Sailu (M Cl)",39851,830,830,830,824,"12","2",821,"387","145","2","386","33","104",293,"587","824","6",47.5,48,4.3
"276","Maharashtra","District Jalna (18), Maharashtra (27)",1612980,826903,786077,"18.17","1305115",NA,NA,NA,303886,5,951,903,"32103","1.99",870399,545730,324669,64.4,79.14,49.04,870399,24794,324877,249322,106869,135386,29151,178918,427445,832728,173889,716900,611998,104902,896080,"1.Mahar etc.",98200,"2.Mang etc.",56804,"3.Bhambi etc.",20164,"1.Hindus",1255041,"2.Muslims",211531,"3.Buddhists",121033,"1.Bhil etc.","8840","2.Koli Malhar","7352","3.Koli Mahadev etc.","6499","1.Jalna (M Cl)",235795,"2.Partur (M Cl)",29012,"3.Ambad (M Cl)",26108,963,963,963,959,"117","133",952,"497","158","4","380","42","109",362,"637","848","113",37.2,50.4,12.4
"277","Maharashtra","District Aurangabad (19), Maharashtra (27)",2897013,1505363,1391650,"31.93","1809863",NA,NA,NA,549898,5,924,890,"100416","3.47",1771659,1067801,703858,72.94,84.89,60.09,1771659,36544,490608,455114,233997,424582,130802,326108,738430,1569313,263162,1176857,1025531,151326,1720156,"1.Mahar etc.",259204,"2.Mang etc.",72527,"3.Bhambi etc.",35892,"1.Hindus",2030181,"2.Muslims",569516,"3.Buddhists",247222,"1.Bhil etc.","46597","2.Koli Malhar","19592","3.Koli Mahadev etc.","10133","1.Aurangabad (M Corp.)",873311,"2.Sillod (M Cl)",43867,"3.Vaijapur (M Cl)",37064,1300,1294,1294,1286,"17","46",1236,"667","249","4","701","40","121",523,"916","1080","218",51.3,33.3,15.3
"278","Maharashtra","District Nashik (20), Maharashtra (27)",4993796,2590912,2402884,"29.51","3056240",NA,NA,NA,915137,5,927,920,"1194271","23.92",3126188,1823366,1302822,74.36,83.65,64.35,3126188,53499,817907,814181,453224,776968,210382,555171,1181865,2869178,387582,2185573,1911340,274233,2808223,"1.Mahar etc.",294150,"2.Mang etc.",56685,"3.Bhambi etc.",52636,"1.Hindus",4306179,"2.Muslims",525983,"3.Buddhists",84044,"1.Koli Mahadev etc.","394631","2.Kokna etc.","360755","3.Bhil etc.","300495","1.Nashik (M Corp.)",1077236,"2.Malegaon (M Cl)",409403,"3.Manmad (M Cl)",72401,1923,1923,1923,1911,"-","-",1905,"863","664","20","918","110","479",1001,"1503","1745","176",48.8,35.7,15.3
"279","Maharashtra","District Thane (21), Maharashtra (27)",8131849,4377747,3754102,"54.86","2229376",NA,NA,NA,1755124,5,858,931,"1199290","14.75",5635799,3295251,2340548,80.66,87.06,73.1,5635799,92544,1115473,1322471,818886,1691149,595234,807044,1697801,5201022,425982,3179981,2782004,397977,4951868,"1.Mahar etc.",162001,"2.Bhambi etc.",82473,"3.Mang etc.",40839,"1.Hindus",6506337,"2.Muslims",880827,"3.Buddhists",309630,"1.Varli","558788","2.Koli Malhar","198216","3.Thakur etc.","143093","1.Thane (M Corp.)",1262551,"2.Kalyan-Dombivli (M Corp.)",1193512,"3.Navi Mumbai (M Corp.)",704002,1727,1726,1725,1723,"993","279",1709,"536","273","8","697","66","449",539,"1300","1385","319",79.6,16.6,3.8
"280","Maharashtra","District Mumbai (Suburban) * (22), Maharashtra (27)",8640419,4741720,3898699,"27.2","-",NA,NA,NA,1838426,5,822,922,"70454","0.82",6617264,3853376,2763888,86.89,91.56,81.12,6617264,106731,1032701,1556583,1010677,2041567,868911,713025,1640875,5758483,528036,3152509,2971039,181470,5487910,"1.Mahar etc.",131362,"2.Bhambi etc.",129358,"3.Mang etc.",49954,"1.Hindus",5953475,"2.Muslims",1488987,"3.Buddhists",464354,"1.Koli Mahadev etc.","23490","2.Varli","9998","3.Thakur etc.","4890","1.Greater Mumbai (M Corp.) (Par8t,)640,419",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.1,4.7,2.1
"281","Maharashtra","District Mumbai (23), Maharashtra (27)",3338031,1878246,1459785,"4.79","-",NA,NA,NA,677163,5,777,921,"20666","0.62",2590613,1535176,1055437,86.4,90.23,81.38,2590613,58562,399471,600035,415610,811413,305520,236067,549811,2290723,261430,1311739,1250710,61029,2026292,"1.Bhambi etc.",65987,"2.Mahar etc.",31611,"3.Meghval etc.",25115,"1.Hindus",2119750,"2.Muslims",734484,"3.Buddhists",161417,"1.Koli Mahadev etc.","11103","2.Gond Rajgond etc.","1865","3.Pardhi etc.","1630","1.Greater Mumbai (M Corp.) (Par3t,)338,031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,5.7,2.1
"282","Maharashtra","District Raigarh (24), Maharashtra (27)",2207929,1117628,1090301,"20.89","1673094",NA,NA,NA,478933,5,976,938,"269124","12.19",1458324,822913,635411,77.03,86.15,67.75,1458324,25719,390552,398377,249510,307692,86468,225276,481701,1321120,179832,913995,664689,249306,1293934,"1.Mahar etc.",21332,"2.Bhambi etc.",15999,"3.Mang etc.",5048,"1.Hindus",1916707,"2.Muslims",170003,"3.Buddhists",93251,"1.Kathodi etc.","103244","2.Koli Mahadev etc.","82502","3.Thakur etc.","75008","1.Panvel (M Cl)",104058,"2.Navi Mumbai (Panvel, Raigarh) (C8T1),855",NA,"3.Khopoli (M Cl)",58664,1859,1858,1856,1848,"1814","21",1723,"713","275","5","562","46","218",1170,"1374","1331","488",70.1,26.1,3.7
"283","Maharashtra","District Pune (25), Maharashtra (27)",7232555,3769128,3463427,"30.58","3031718",NA,NA,NA,1517041,5,919,902,"261722","3.62",5039290,2879761,2159529,80.45,88.34,71.89,5039290,85293,999712,1234236,737247,1431502,551221,685022,1491352,4466901,589280,2954482,2645429,309053,4278073,"1.Mahar etc.",328866,"2.Mang etc.",262642,"3.Bhambi etc.",98294,"1.Hindus",6197349,"2.Muslims",452397,"3.Buddhists",321948,"1.Koli Mahadev etc.","156500","2.Thakur etc.","58774","3.Bhil etc.","14772","1.Pune (M Corp.)",2538473,"2.Pimpri Chinchwad (M Corp.)",1012472,"3.Pune (CB)",79965,1844,1844,1822,1815,"414","166",1809,"1068","604",NA,"755","88","59",1004,"1424","1627","197",79,15.8,5.1
"284","Maharashtra","District Ahmadnagar (26), Maharashtra (27)",4040642,2083053,1957589,"21.2","3236945",NA,NA,NA,776787,5,940,884,"303255","7.51",2598597,1517029,1081568,75.3,85.7,64.35,2598597,55219,726356,718363,355240,593593,149809,414960,939312,2280315,406055,1857046,1611061,245985,2183596,"1.Mahar etc.",280711,"2.Mang etc.",126151,"3.Bhambi etc.",62709,"1.Hindus",3664259,"2.Muslims",264145,"3.Jains",38561,"1.Bhil etc.","123493","2.Koli Mahadev etc.","113329","3.Thakur etc.","56474","1.Ahmadnagar (M Cl)",307615,"2.Shrirampur (M Cl)",81255,"3.Sangamner (M Cl)",61958,1578,1578,1578,1578,"51","51",1575,"899","707","26","852","142","131",1232,"1261","1360","218",50.6,27.1,22.3
"285","Maharashtra","District Bid (27), Maharashtra (27)",2161250,1116356,1044894,"18.54","1774180",NA,NA,NA,414973,5,936,893,"24193","1.12",1241434,758028,483406,67.99,80.7,54.52,1241434,34496,403026,323189,151017,259282,70423,230310,561900,1118331,250709,957584,830658,126926,1203666,"1.Mahar etc.",160215,"2.Mang etc.",84100,"3.Bhambi etc.",24485,"1.Hindus",1827298,"2.Muslims",256582,"3.Buddhists",65122,"1.Koli Mahadev etc.","8480","2.Bhil etc.","6138","3.Pardhi etc.","3449","1.Bid (M Cl)",138196,"2.Parli (M Cl)",88537,"3.Ambejogai (M Cl)",69478,1354,1353,1353,1354,"-","-",1344,"670","344","10","318","56","74",342,"1075","1170","172",46.3,44.1,9.6
"286","Maharashtra","District Latur (28), Maharashtra (27)",2080285,1075257,1005028,"23.95","1590024",NA,NA,NA,381600,5,935,917,"47836","2.3",1254534,750455,504079,71.54,82.94,59.4,1254534,33202,350523,326969,180947,292029,70863,225429,527753,1094509,232594,840518,712849,127669,1239767,"1.Mahar etc.",189211,"2.Mang etc.",161126,"3.Bhambi etc.",22638,"1.Hindus",1700679,"2.Muslims",292996,"3.Buddhists",74351,"1.Koli Mahadev etc.","39712","2.Gond Rajgond etc.","1992","3.Kathodi etc.","1639","1.Latur (M Cl)",299985,"2.Udgir (M Cl)",91933,"3.Ahmadpur (M Cl)",35805,921,921,921,919,"9","8",917,"640","360","13","409","19","11",501,"773","768","153",68.1,28.4,3.5
